,y_plot1,y_plot2,y_plot3,y_plot4,y_plot5,y_plot6,y_plot7
0,100.0,100.0,8620.0,8620.0,8605.657237936772,862000.0,862000.0
1,101.66666666666667,101.66666666666667,8620.0,8620.0,8605.657237936772,862000.0,862000.0
2,103.33333333333333,103.36111111111111,9448.27,8620.0,8577.114427860697,876366.6666666667,876366.6666666667
3,105.0,105.0837962962963,9138.55,8620.0,8534.653465346535,976583.6852777778,890972.7777777778
4,106.66666666666667,106.83519290123456,11335.46,8620.0,8478.688524590163,960313.5266435185,905822.324074074
5,108.33333333333333,108.61577944958847,11649.51,8620.0,8409.756097560976,1211026.0557242283,920919.362808642
6,110.0,110.42604244041495,10776.59,8620.0,8328.502415458937,1265320.6088557753,936268.0188554527
7,111.66666666666667,112.26647648108853,13791.0,8620.0,8235.668789808917,1190016.1847029512,951872.4858363768
8,113.33333333333333,114.13758442244001,19695.87,8620.0,8132.075471698114,1548266.977150692,967737.0272669832
9,115.0,116.03987749614734,28923.63,8620.0,8018.604651162791,2248039.0248984033,983865.9777214329
10,116.66666666666666,117.97387545441646,33092.98,8620.0,7896.18320610687,3356294.4819438923,1000263.7440167901
11,118.33333333333333,119.94010671199007,45135.66,8620.0,7765.7657657657655,3904107.100935495,1016934.8064170699
12,120.0,121.93910849052324,58378.74,8620.0,7628.3185840707965,5413575.876916102,1033883.7198573544
